ELEMENT	Z	A1	B1	A2	B2	A3	B3	A4	B4	A5	B5	MPD	WPD	S
He	2	0.5246	32.3717	1.0188	14.7084	0.4068	6.6884	0.0498	2.4843	0.0000	0.0000	0.000	0.000	CM
Li	3	0.0518	533.9220	0.9578	245.8450	0.7348	10.1831	1.0817	4.4364	0.1740	1.5031	0.177	1.048	CM
Be	4	0.4634	185.8560	1.5592	104.6010	0.7685	4.8589	1.0623	2.1932	0.1470	0.7641	0.026	0.107	CM
B	5	0.9096	104.9610	1.9822	46.0191	0.2279	8.9873	1.4873	1.9674	0.3979	0.6778	0.670	0.355	C
C	6	0.7568	82.2385	2.5511	31.7282	0.7051	11.9471	1.4605	1.4637	0.5263	0.5150	0.044	0.264	C
N	7	0.9070	64.1555	2.8972	20.8507	1.1659	7.7576	1.5526	1.0335	0.4769	0.3516	0.078	0.554	CM
O	8	0.8847	52.0063	3.2189	16.4487	1.7990	6.5958	1.5538	0.8143	0.5434	0.2815	0.043	0.165	C
F	9	0.9756	41.7194	3.5101	12.7747	2.3561	5.2945	1.5896	0.6470	0.5683	0.2254	0.031	0.144	C
Ne	10	1.1544	34.2567	3.8033	9.7672	2.8085	4.0375	1.6647	0.5256	0.5687	0.1800	0.043	0.309	CM
Na	11	1.0243	293.4110	2.0704	15.2373	5.3197	4.4697	1.5214	0.6256	1.0637	0.1922	0.094	0.304	CM
Mg	12	2.0049	178.9830	1.9449	11.2433	5.4291	3.4272	1.6315	0.4907	0.9888	0.1542	0.092	0.672	CM
Al	13	2.6790	121.3630	1.2336	16.0728	5.9358	3.2632	1.6622	0.6616	1.4835	0.1586	0.145	0.650	C
Si	14	2.1006	116.9570	2.2025	34.7760	5.3063	3.3215	2.5162	0.9833	1.8716	0.1553	0.110	0.438	C
P	15	1.8936	108.0330	3.3782	26.6586	5.3752	2.6865	2.4942	0.7973	1.8564	0.1333	0.113	0.667	CM
S	16	2.0717	86.7211	4.2023	21.4574	5.6883	2.1255	2.2623	0.5882	1.7735	0.1128	0.124	0.787	C
Cl	17	2.1221	73.8395	5.0905	17.9756	5.6885	1.8037	2.2809	0.5162	1.6164	0.1008	0.095	0.447	C
Ar	18	2.1778	65.6187	5.9791	14.4380	5.6104	1.5611	2.3442	0.4716	1.8873	0.0914	0.057	0.185	CM
K	19	1.0863	425.4740	2.8562	35.7249	5.6616	9.3261	6.7809	1.0206	2.6145	0.1036	0.190	1.247	CM
Ca	20	2.0554	289.8620	2.7251	28.7190	5.9104	7.4788	6.7171	0.8644	2.5916	0.9200	0.129	0.527	CM
Sc	21	2.1608	251.3870	2.9545	26.8528	6.5125	6.4238	6.7745	0.7616	2.5969	0.0831	0.091	0.234	C
Ti	22	2.1983	226.9680	3.2282	24.9306	7.0649	5.6213	6.8832	0.6865	2.6243	0.0758	0.091	0.423	C
V	23	2.2399	206.3990	3.4348	22.9026	7.6412	4.9366	7.0270	0.6256	2.6558	0.0697	0.093	0.568	C
Cr	24	1.5893	196.5840	3.6692	25.2663	8.7249	4.5848	7.2913	0.5876	2.7226	0.0650	0.113	0.606	CM
Mn	25	2.3156	174.6560	3.7420	19.5879	8.8241	3.8896	7.3813	0.5326	2.7355	0.0597	0.083	0.669	CM
Fe	26	2.3141	164.1040	3.9729	18.2898	9.2624	3.5861	7.5083	0.5155	2.9404	0.0597	0.067	0.504	C
Co	27	2.3636	151.3370	4.4188	16.0770	9.7350	3.1445	7.6872	0.4553	2.7927	0.0514	0.094	0.629	C
