Atom or ion	Z	M	K	L	epsilon	
He	2	0.00449	4.63354	10.2456	0.0005	
Li	3	1.93412	6.43205	9.5329	0.015	
Be	4	1.32466	3.90931	6.4593	0.0293	
B	5	0.81997	2.70598	5.8546	0.0229	
C	6	0.61876	2.06499	5.7754	0.0267	
N	7	0.39434	1.40239	13.5381	0.0286	
O	8	0.37033	1.22426	25.4902	0.0189	
F	9	0.32925	1.05786	148.854	0.04	
Ne	10	0.41389	1.13677	24.3301	0.0378	
Na	11	0.45524	1.22322	21.7068	0.0349	
Mg	12	0.48043	1.20756	15.622	0.055	
Al	13	0.4992	1.18551	13.693	0.0418	
Si	14	0.5085	1.14764	13.2148	0.0345	
P	15	0.5136	1.10729	14.635	0.0239	
S	16	0.51502	1.06379	13.0632	0.021	
Cl	17	0.5132	1.01937	13.3857	0.0165	
Ar	18	0.51617	0.99055	15.0641	0.0172	
K	19	0.51198	0.94744	15.2652	0.0211	
Ca	20	0.50934	0.9172	14.7943	0.0206	
Sc	21	0.51921	0.911	14.2067	0.0326	
Ti	22	0.53688	0.91813	13.7543	0.0475	
V	23	0.5583	0.9304	12.7813	0.053	
Cr	24	0.59093	0.95408	9.9189	0.0746	
Mn	25	0.60736	0.94636	10.7472	0.0555	
Fe	26	0.62157	0.94225	9.8927	0.0505	
Co	27	0.63943	0.94163	9.1675	0.0468	
Ni	28	0.65793	0.93866	8.4868	0.044	
Cu	29	0.69695	0.95915	7.4455	0.0494	
Zn	30	0.6991	0.93084	7.3661	0.0444	
Ga	31	0.69152	0.89103	7.3405	0.0523	
Ge	32	0.6727	0.838	7.6027	0.0807	
As	33	0.64655	0.7776	8.375	0.1153	
Se	34	0.62745	0.72866	8.768	0.1182	
Br	35	0.61014	0.6601	9.4198	0.1582	
Li+	2	0.01972	3.21454	10.0657	0.0056	
F-	10	0.36389	1.22435	31.2425	0.0397	
Na+	10	0.46099	1.15092	15.9754	0.024	
Cl-	18	0.49797	1.03861	15.2837	0.0077	
K+	18	0.53741	0.95939	13.3178	0.0215	
Rb	37	0.55061	0.69379	4.4872	0.387	
I	53	0.64691	0.67347	5.0453	0.5832	
I-	54	0.61306	0.61164	6.2254	0.5067	
Cs+	54	0.64817	0.67375	4.7437	0.692	
Cs	55	0.60466	0.59228	5.8029	0.5528	
Bi	83	19.3984	1.57948	1.70146	0.0	
